title,year,runtime_min,attention,weight,tension,action,humor,ending,genre,setting,themes,series,style,source
12 Angry Men,1957,96,3,2,2,1,1,Positive,Drama,Historical,Social Critique|Power & Politics,No,Mixed,Creator's Choice
28 Days Later,2002,113,2,3,3,2,1,Bleak,Horror|Thriller,Modern,Survival,No,Mixed,Creator's Choice
A House of Dynamite,2025,112,3,3,3,1,1,Bleak,Thriller,Modern,War|Power & Politics|Survival,No,Mainstream,Creator's Choice
Aftersun,2022,102,3,3,1,1,1,Bittersweet,Drama,Modern,Family|Grief & Loss|Mental Health,No,Indie,Creator's Choice
All of Us Strangers,2023,105,2,3,1,1,1,Bleak,Drama|Romance|Fantasy,Modern,Grief & Loss|Family|LGBTQ+|Isolation & Loneliness,No,Indie,Creator's Choice
American History X,1998,119,3,3,2,1,1,Bittersweet,Drama,Modern,Violence & Crime|Family|Social Critique,No,Mixed,Creator's Choice
American Hustle,2013,138,2,2,2,1,2,Bittersweet,Drama|Comedy|Crime,Historical,Power & Politics|Love & Relationships,No,Mainstream,Creator's Choice
Anchorman,2004,94,1,1,1,1,3,Positive,Comedy,Historical,Friendship,No,Mainstream,Creator's Choice
Anora,2024,139,2,2,2,1,2,Bittersweet,Drama|Comedy|Romance,Modern,Love & Relationships|Social Critique,No,Indie,Creator's Choice
Another Round,2020,117,2,2,1,1,2,Bittersweet,Drama|Comedy,Modern,Addiction|Friendship,No,Indie,Creator's Choice
Arrival,2016,116,3,2,2,1,1,Bittersweet,Sci-Fi|Drama,Modern,Family|Identity,No,Mainstream,Creator's Choice
Baraka,1992,97,1,2,1,1,1,Positive,Documentary,Modern,Social Critique,No,Indie,Creator's Choice
Barbie,2023,114,1,1,1,2,3,Positive,Comedy|Fantasy,Fantasy World,Identity|Social Critique,No,Mainstream,Creator's Choice
Before Sunrise,1995,101,2,1,1,1,1,Bittersweet,Romance|Drama,Modern,Love & Relationships,No,Indie,Creator's Choice
Birdman,2014,119,3,3,2,1,2,Bittersweet,Drama|Comedy,Modern,Art & Music|Identity|Mental Health,No,Mixed,Creator's Choice
Blade Runner,1982,117,3,2,2,1,1,Bleak,Sci-Fi|Thriller,Future,Identity,No,Mixed,Creator's Choice
Boogie Nights,1997,155,2,3,2,1,2,Bleak,Drama,Historical,Addiction|Family|Art & Music,No,Mixed,Creator's Choice
Call Me by Your Name,2017,132,2,2,1,1,1,Bittersweet,Drama|Romance,Historical,Love & Relationships|LGBTQ+|Coming-of-Age,No,Indie,Creator's Choice
Challengers,2024,131,2,2,2,1,1,Bittersweet,Drama|Romance,Modern,Love & Relationships|Friendship,No,Mainstream,Creator's Choice
Close,2022,104,3,3,1,1,1,Bleak,Drama,Modern,Friendship|Grief & Loss|Coming-of-Age,No,Indie,Creator's Choice
Die My Love,2025,119,2,3,2,1,1,Bleak,Drama|Thriller|Comedy,Modern,Mental Health|Family|Love & Relationships,No,Indie,Creator's Choice
Django Unchained,2012,165,2,3,3,3,2,Positive,Western|Action|Drama,Historical,Violence & Crime|Revenge|Social Critique,No,Mainstream,Creator's Choice
Don't Look Up,2021,138,2,2,1,1,3,Bleak,Comedy|Sci-Fi|Drama,Modern,Social Critique|Power & Politics,No,Mainstream,Creator's Choice
Drive,2011,100,2,3,3,2,1,Bleak,Thriller|Crime,Modern,Love & Relationships|Violence & Crime|Isolation & Loneliness,No,Indie,Creator's Choice
Dune,2021,155,2,2,2,2,1,Bittersweet,Sci-Fi|Adventure,Future,Power & Politics|Family,Yes,Mainstream,Creator's Choice
Dunkirk,2017,106,3,3,3,2,1,Bittersweet,War|Thriller,Historical|War,War|Survival,No,Mainstream,Creator's Choice
EO,2022,88,2,3,1,1,1,Bleak,Drama,Modern,Social Critique,No,Indie,Creator's Choice
Eternal Sunshine of the Spotless Mind,2004,108,3,2,1,1,2,Bittersweet,Drama|Romance|Sci-Fi,Modern,Love & Relationships|Identity,No,Indie,Creator's Choice
Everything Everywhere All at Once,2022,140,3,2,2,3,3,Positive,Sci-Fi|Comedy|Action|Drama,Modern,Family|Identity,No,Indie,Creator's Choice
Ex Machina,2014,108,3,2,3,1,1,Bleak,Sci-Fi|Thriller,Modern,Identity,No,Indie,Creator's Choice
Fight Club,1999,139,3,3,2,2,2,Bleak,Drama|Thriller,Modern,Identity|Social Critique|Violence & Crime,No,Mainstream,Creator's Choice
Fresh,2022,114,2,3,3,1,2,Bleak,Horror|Thriller|Romance,Modern,Love & Relationships|Violence & Crime,No,Mixed,Creator's Choice
Hamnet,2025,126,3,3,1,1,1,Bleak,Drama|Romance,Historical,Family|Grief & Loss|Art & Music,No,Mixed,Creator's Choice
Hot Fuzz,2007,121,1,1,2,2,3,Positive,Comedy|Action|Crime,Modern,Friendship,No,Mixed,Creator's Choice
In Bruges,2008,107,2,2,2,2,3,Bleak,Crime|Comedy|Drama,Modern,Friendship|Violence & Crime|Grief & Loss,No,Mixed,Creator's Choice
