title,year,runtime_min,attention,weight,tension,action,humor,ending,genre,setting,themes,series,style,source
(500) Days of Summer,2009,95,2,2,1,1,2,Bittersweet,Romance|Comedy|Drama,Modern,Love & Relationships,No,Indie,Essentials
10 Things I Hate About You,1999,97,1,1,1,1,2,Positive,Romance|Comedy,Modern,Love & Relationships|Coming-of-Age,No,Mainstream,Essentials
1917,2019,119,3,3,3,2,1,Bleak,War|Drama,Historical|War,War|Survival,No,Mainstream,Essentials
A Beautiful Mind,2001,135,2,2,1,1,1,Bittersweet,Drama|Biopic,Historical,Mental Health|Love & Relationships,No,Mainstream,Essentials
A Quiet Place,2018,90,2,3,3,2,1,Bittersweet,Horror|Sci-Fi,Modern,Family|Survival,Yes,Mainstream,Essentials
A Star Is Born,2018,136,2,3,1,1,1,Bleak,Drama|Romance|Musical,Modern,Love & Relationships|Addiction|Art & Music,No,Mainstream,Essentials
Airplane!,1980,88,1,1,1,1,3,Positive,Comedy,Modern,Friendship,No,Mainstream,Essentials
Alien,1979,117,2,3,3,2,1,Bleak,Horror|Sci-Fi,Future,Survival,Yes,Mainstream,Essentials
All Quiet on the Western Front,2022,148,2,3,3,1,1,Bleak,War|Drama,Historical|War,War|Survival,No,Mixed,Essentials
Almanya: Welcome to Germany,2011,101,1,1,1,1,3,Positive,Comedy|Drama,Historical,Family|Identity,No,Indie,Essentials
Avatar,2009,162,1,1,2,3,1,Positive,Sci-Fi|Adventure,Fantasy World,Social Critique|Survival,Yes,Mainstream,Essentials
Back to the Future,1985,116,1,1,2,2,3,Positive,Sci-Fi|Comedy|Adventure,Modern,Friendship|Family,Yes,Mainstream,Essentials
Black Panther,2018,134,2,2,2,3,1,Bittersweet,Action|Sci-Fi,Fantasy World,Power & Politics|Family,Yes,Mainstream,Essentials
Borat,2006,84,1,1,1,1,3,Positive,Comedy,Modern,Social Critique,Yes,Mixed,Essentials
Braveheart,1995,178,2,3,2,3,1,Bleak,Drama|War,Historical,War|Revenge,No,Mainstream,Essentials
Bridesmaids,2011,125,1,1,1,1,3,Positive,Comedy,Modern,Friendship,No,Mainstream,Essentials
Bridget Jones's Diary,2001,97,1,1,1,1,3,Positive,Romance|Comedy,Modern,Love & Relationships|Identity,Yes,Mainstream,Essentials
Casino,1995,178,2,3,2,1,1,Bleak,Crime|Drama,Historical,Power & Politics|Violence & Crime,No,Mainstream,Essentials
Casino Royale,2006,144,2,2,2,3,1,Bleak,Action|Thriller,Modern,Love & Relationships,Yes,Mainstream,Essentials
Catch Me If You Can,2002,141,1,1,1,1,3,Positive,Crime|Comedy|Biopic,Historical,Family|Identity,No,Mainstream,Essentials
Charlie and the Chocolate Factory,2005,115,1,1,1,1,2,Positive,Fantasy|Family,Fantasy World,Family,No,Mainstream,Essentials
Chicago,2002,113,2,2,1,1,2,Bleak,Musical|Crime,Historical,Power & Politics|Art & Music,No,Mainstream,Essentials
Coco,2017,105,1,2,1,1,2,Bittersweet,Animation|Family|Musical,Fantasy World,Family|Grief & Loss|Art & Music,No,Mainstream,Essentials
Coming to America,1988,116,1,1,1,1,3,Positive,Comedy|Romance,Modern,Love & Relationships|Identity,No,Mainstream,Essentials
Crazy Rich Asians,2018,120,1,1,1,1,2,Positive,Romance|Comedy,Modern,Family|Love & Relationships,No,Mainstream,Essentials
Creed,2015,133,1,2,2,2,1,Positive,Drama|Sports,Modern,Identity|Family,Yes,Mainstream,Essentials
Das Boot,1981,149,2,3,3,1,1,Bleak,War|Drama,Historical|War,War|Survival,No,Mixed,Essentials
Deadpool,2016,108,1,2,2,3,3,Positive,Action|Comedy,Modern,Identity,Yes,Mainstream,Essentials
Despicable Me,2010,95,1,1,1,1,3,Positive,Animation|Family|Comedy,Modern,Family,Yes,Mainstream,Essentials
Die Hard,1988,132,1,2,3,3,2,Positive,Action|Thriller,Modern,Survival,No,Mainstream,Essentials
District 9,2009,112,2,3,2,2,1,Bleak,Sci-Fi|Thriller,Modern,Social Critique,No,Mixed,Essentials
Downfall,2004,156,2,3,2,1,1,Bleak,Drama|War|Biopic,Historical|War,War|Power & Politics,No,Mixed,Essentials
Dumb and Dumber,1994,107,1,1,1,1,3,Positive,Comedy,Modern,Friendship,No,Mainstream,Essentials
E.T. the Extra-Terrestrial,1982,115,1,1,1,1,2,Bittersweet,Sci-Fi|Family,Modern,Friendship|Family,No,Mainstream,Essentials
Edge of Tomorrow,2014,113,2,2,2,3,2,Positive,Sci-Fi|Action,Future,Survival,No,Mainstream,Essentials
Entrapment,2009,108,1,1,1,1,2,Positive,Romance|Comedy,Modern,Love & Relationships,No,Mainstream,Essentials
Erin Brockovich,2000,131,1,2,1,1,2,Positive,Drama|Biopic,Modern,Social Critique|Family,No,Mainstream,Essentials
Fast Five,2011,130,1,1,2,3,2,Positive,Action|Crime,Modern,Family,Yes,Mainstream,Essentials
Finding Nemo,2003,100,1,1,1,1,2,Bittersweet,Animation|Family|Adventure,Modern,Family,No,Mainstream,Essentials
Forgetting Sarah Marshall,2008,112,1,1,1,1,3,Bittersweet,Romance|Comedy,Modern,Love & Relationships,No,Mixed,Essentials
Forrest Gump,1994,142,1,2,1,1,2,Bittersweet,Drama|Comedy,Historical,Love & Relationships|Family,No,Mainstream,Essentials
Frozen,2013,102,1,1,1,1,2,Positive,Animation|Family|Musical,Fantasy World,Family,Yes,Mainstream,Essentials
Get Out,2017,104,2,3,3,1,2,Bleak,Horror|Thriller,Modern,Social Critique|Identity,No,Mixed,Essentials
Ghostbusters,1984,105,1,1,2,2,3,Positive,Comedy|Horror,Modern,Friendship,Yes,Mainstream,Essentials
Gladiator,2000,155,2,3,2,3,1,Bittersweet,Action|Drama,Historical,Revenge|Power & Politics,No,Mainstream,Essentials
Gone Girl,2014,149,2,3,3,1,1,Bleak,Thriller|Crime,Modern,Love & Relationships|Violence & Crime,No,Mainstream,Essentials
"Good Bye, Lenin!",2003,121,1,2,1,1,2,Bittersweet,Comedy|Drama,Historical,Family|Power & Politics,No,Mixed,Essentials
Good Will Hunting,1997,126,2,2,1,1,2,Bittersweet,Drama,Modern,Identity|Friendship,No,Mainstream,Essentials
Goodfellas,1990,146,2,3,2,2,1,Bleak,Crime|Drama,Historical,Violence & Crime|Friendship,No,Mainstream,Essentials
Gravity,2013,91,2,3,3,1,1,Bittersweet,Sci-Fi|Drama,Future,Survival|Isolation & Loneliness,No,Mainstream,Essentials
Grease,1978,110,1,1,1,1,2,Positive,Musical|Romance,Historical,Love & Relationships|Coming-of-Age,No,Mainstream,Essentials
Groundhog Day,1993,101,2,1,1,1,3,Positive,Comedy|Fantasy,Modern,Identity|Love & Relationships,No,Mainstream,Essentials
Guardians of the Galaxy,2014,121,1,1,2,3,3,Positive,Action|Sci-Fi|Comedy,Future,Friendship|Family,Yes,Mainstream,Essentials
Hacksaw Ridge,2016,139,2,3,3,3,1,Bittersweet,War|Biopic,Historical|War,War|Survival,No,Mainstream,Essentials
Halloween,1978,91,1,3,3,1,1,Bleak,Horror,Historical,Survival,Yes,Mixed,Essentials
Harry Potter and the Deathly Hallows: Part 2,2011,130,2,2,3,3,1,Bittersweet,Fantasy|Action,Fantasy World,Friendship|War,Yes,Mainstream,Essentials
Harry Potter and the Philosopher's Stone,2001,152,1,1,1,1,2,Positive,Fantasy|Adventure,Fantasy World,Friendship|Coming-of-Age,Yes,Mainstream,Essentials
Head Full of Honey,2014,145,1,2,1,1,2,Bittersweet,Drama|Comedy,Modern,Family|Mental Health,No,Mainstream,Essentials
Heat,1995,170,2,3,3,2,1,Bleak,Crime|Thriller,Modern,Violence & Crime|Family,No,Mainstream,Essentials
Hereditary,2018,127,3,3,3,1,1,Bleak,Horror|Drama,Modern,Family|Grief & Loss|Mental Health,No,Indie,Essentials
Home Alone,1990,103,1,1,1,2,3,Positive,Comedy|Family,Modern,Family,Yes,Mainstream,Essentials
How to Train Your Dragon,2010,98,1,1,1,2,2,Positive,Animation|Family|Adventure,Fantasy World,Friendship,Yes,Mainstream,Essentials
Inside Out,2015,95,1,1,1,1,2,Bittersweet,Animation|Family|Drama|Comedy,Modern,Family|Mental Health,No,Mainstream,Essentials
Iron Man,2008,126,1,1,2,3,2,Positive,Action|Sci-Fi,Modern,Identity,Yes,Mainstream,Essentials
It,2017,135,2,3,3,1,1,Bleak,Horror,Historical,Friendship|Coming-of-Age,Yes,Mainstream,Essentials
